entity_name,entity_number,description,category
&permil;,&#8240;,Per mille,Miscellaneous
,&#8242;,Minutes (Degrees),"Miscellaneous"
&prime;,&#8243;,"Seconds (Degrees),Double Prime, Double Quote","Miscellaneous ,Math"
&lsaquo;,&#8249;,Single left angle quotation,Miscellaneous
&rsaquo;,&#8250;,Single right angle quotation,Miscellaneous
&oline;,&#8254;,Overline,Miscellaneous
&euro;,&#8364;,Euro,Miscellaneous
&trade;,&#8482;,Trademark,Miscellaneous
&larr;,&#8592;,Left arrow,Arrows
&uarr;,&#8593;,Up arrow,Arrows
&rarr;,&#8594;,Right arrow,Arrows
&darr;,&#8595;,Down arrow,Arrows
&harr;,&#8596;,Left right arrow,Arrows
,&#8656;,Left double arrow,Arrows
,&#8658;,Right double arrow,Arrows
,&#8657;,Up double arrow,Arrows
,&#8659;,Down double arrow,Arrows
,&#8660;,Left Right double arrow,Arrows
&crarr;,&#8629;,Carriage return arrow,Miscellaneous
&lceil;,&#8968;,Left ceiling bracket,"Miscellaneous, Math"
&rceil;,&#8969;,Right ceiling bracket,"Miscellaneous, Math"
&lfloor;,&#8970;,Left floor bracket,"Miscellaneous, Math"
&rfloor;,&#8971;,Right floor bracket,"Miscellaneous, Math"
&loz;,&#9674;,Lozenge,Miscellaneous
&spades;,&#9824;,Black Spades,"Miscellaneous, Cards"
&clubs;,&#9827;,Black Clubs,"Miscellaneous, Cards"
&hearts;,&#9829;,Black Hearts,"Miscellaneous, Cards"
&diams;,&#9830;,Black Diamonds,"Miscellaneous, Cards"
,&#9833;,Quarter Note,Music
,&#9834;,Eighth Note,Music
,&#9835;,Beamed Eighth Notes,Music
,&#9836;,Beamed sixteenth notes,Music
,&#9837;,Flat Sign,Music
,&#9838;,Natural Sign,Music
,&#9839;,Sharp Sign,Music
,&#8725;,Division Slash,Math
&frasl,&#8260;,Fraction Slash,Math
,&#8731;,Cube Root,Math
,&#8732;,Fourth Root,Math
&alefsym;,&#8501;,ALEF Infinity Symbol,Math
,&#8244;,"Triple Prime, Triple Quote",Math
&lang;,&#9001;,Left Angle Bracket,Math
&rang;,&#9002;,Right Angle Bracket,Math
,&#8597;,Up Down Arrow,Miscellaneous
,&#9650;,Black Up Pointing Triangle,Miscellaneous
,&#9658;,Black Right Pointing Triangle,Miscellaneous
,&#9660;,Black Down Pointing Triangle,Miscellaneous
,&#9668;,Black Left Pointing Triangle,Miscellaneous
,&#9788;,White Sun With Rays,Miscellaneous
,&#9792;,"Female Sign, Venus","Miscellaneous, Planets"
,&#9794;,"Male Sign, Mars","Miscellaneous, Planets"
,&#9791;,Mercury,Planets
,&#9793;,Earth,Planets
,&#9795;,Jupiter,Planets
,&#9796;,Saturn,Planets
,&#9797;,Uranus,Planets
,&#9798;,Neptune,Planets
,&#9799;,Pluto,Planets
,&#9800;,Aries,Zodiac
,&#9801;,Taurus,Zodiac
,&#9802;,Gemini,Zodiac
,&#9803;,Cancer,Zodiac
,&#9804;,Leo,Zodiac
,&#9805;,Virgo,Zodiac
,&#9806;,Libra,Zodiac
,&#9807;,Scorpio,Zodiac
,&#9808;,Sagittarius,Zodiac
,&#9809;,Capicorn,Zodiac
,&#9810;,Aquarius,Zodiac
,&#9811;,Pisces,Zodiac
,&#9828;,White Spades,Cards
,&#9831;,White Clubs,Cards
,&#9825;,White Hearts,Cards
,&#9826;,White Diamonds,Cards
,&#9760;,Skull & Crossbones (Poison),Warning
,&#9761;,Caution,Warning
,&#9762;,Radioactive,Warning
,&#9763;,Biohazard,Warning
,&#9764;,Caduceus,Warning
,&#9812;,White King,Chess Pieces
,&#9813;,White Queen,Chess Pieces
,&#9814;,White Rook,Chess Pieces
,&#9815;,White Bishop,Chess Pieces
,&#9816;,White Knight,Chess Pieces
,&#9817;,White Pawn,Chess Pieces
,&#9818;,Black King,Chess Pieces
,&#9819;,Black Queen,Chess Pieces
,&#9820;,Black Rook,Chess Pieces
,&#9821;,Black Bishop,Chess Pieces
,&#9822;,Black Knight,Chess Pieces
,&#9823;,Black Pawn,Chess Pieces
,&#9765;,Ankh,Religious and Political
,&#9766;,Orthodox cross,Religious and Political
,&#9767;,Chi rho,Religious and Political
,&#9768;,Cross of Lorraine,Religious and Political
,&#9769;,Cross of Jerusalem,Religious and Political
,&#9770;,Star & crescent (Islam),Religious and Political
,&#9771;,Farsi symbol,Religious and Political
,&#9772;,Adi Shakti,Religious and Political
,&#9773;,Hammer & Sickle,Religious and Political
,&#9774;,Peace Symbol,Religious and Political
,&#9775;,Yin yang,Religious and Political
,&#9776;,I Ching trigram: Heaven,Religious and Political
,&#9777;,I Ching trigram: Lake,Religious and Political
,&#9778;,I Ching trigram: Fire,Religious and Political
,&#9779;,I Ching trigram: Thunder,Religious and Political
,&#9780;,I Ching trigram: Wind,Religious and Political
,&#9781;,I Ching trigram: Water,Religious and Political
,&#9782;,I Ching trigram: Mountain,Religious and Political
,&#9783;,I Ching trigram: Earth,Religious and Political
,&#9784;,Mandala (wheel of Dharma),Religious and Political
,&#9840;,East Syriac cross,Religious and Political
,&#9841;,West Syriac cross,Religious and Political
,&#10017;,Star of David,Religious and Political
,&cent;,&#162;,Cents sign,Currency
,&pound;,&#163;,Pound Sterling,Currency
,&curren;,&#164;,General currency,Currency
,&yen;,&#165;,Yen,Currency
,&euro;,&#8364;,Euro,Currency
,&#8355;,Franc (French),Currency
,&#8352;,Euro-currency sign,Currency
,&#8353;,"Colon (Costa Rica, El Salvador)",Currency
,&#8354;,Cruzeiro (Brazil),Currency
,&#8356;,Lira (Italy),Currency
,&#8357;,Mill (US$.001),Currency
,&#8358;,Naira (Nigeria),Currency
,&#8359;,Peseta (Spain),Currency
,&#8360;,Rupee (India),Currency
,&#8361;,Won (Korea),Currency
,&#8362;,New sheqel (Israel),Currency
,&#8363;,Dong (Vietnam),Currency
,&#8365;,Kip (Laos),Currency
,&#8366;,Tugrik (Mongolia),Currency
,&#8367;,Drachma (Greece),Currency
,&#8253;,Interrobang,Punctuation
,&#8227;,Triangular bullet,Punctuation
,&#8208;,Hyphen,"Punctuation, Dashes"
,&#9280;,OCR hook,OCR
,&#9281;,OCR chair,OCR
,&#9282;,OCR fork,OCR
,&#9283;,OCR inverted fork,OCR
,&#9284;,OCR belt buckle,OCR
,&#9285;,OCR bow tie,OCR
,&#9286;,OCR branch bank identification,OCR
,&#9287;,OCR amount of check,OCR
,&#9288;,OCR dash,OCR
,&#9289;,OCR customer account number,OCR
,&#9290;,OCR double backslash,OCR
,&#8209;,Nonbreaking hyphen,Dashes
,&#8210;,Hyphen,Dashes
,&#8213;,Quotation dash,Dashes
,&#8275;,Swung dash,Dashes
,&#8259;,Hyphen bullet,Dashes
,&#8962;,White House or Home,Miscellaneous
,&#9608;,Black Block,Miscellaneous
,&#9733;,Black Star,Miscellaneous
,&#9734;,White Star,Miscellaneous
,&#9785;,Frowning Face,Miscellaneous
,&#9786;,Smiling Face,Miscellaneous
,&#127874;,Birthday Cake,Miscellaneous
,&#128077;,Thumbs Up (Like),Miscellaneous
,&#128078;,Thumbs Down (Dislike),Miscellaneous
,&#128269;,Magnifying glass (Search),Miscellaneous
,&#128206;,"Paperclip, Attach",Miscellaneous
,&#9985;,Scissors,Dingbats
,&#9986;,Scissors,Dingbats
,&#9987;,Scissors,Dingbats
,&#9988;,Scissors,Dingbats
,&#9990;,Telephone sign,Dingbats
,&#9991;,Tape drive,Dingbats
,&#9992;,Airplane,Dingbats
,&#9993;,Envelope,Dingbats
,&#9996;,Victory or peace sign,Dingbats
,&#9997;,Writing hand,Dingbats
,&#9998;,Pencil,Dingbats
,&#9999;,Pencil,Dingbats
,&#10000;,Pencil,Dingbats
,&#10001;,White nib,Dingbats
,&#10002;,Black nib,Dingbats
,&#10003;,Check mark,Dingbats
,&#10004;,Heavy check mark,Dingbats
,&#10005;,Multiplication X,Dingbats
,&#10006;,Heavy multiplication X,Dingbats
,&#10007;,Ballot X,Dingbats
,&#10008;,Heavy ballot X,Dingbats
,&#10009;,Outlined Greek cross,Dingbats
,&#10010;,Heavy Greek cross,Dingbats
,&#10011;,Open center cross,Dingbats
,&#10012;,Heavy open center cross,Dingbats
,&#10013;,Latin cross,Dingbats
,&#10014;,Shadowed white Latin cross,Dingbats
,&#10015;,Outlined Latin cross,Dingbats
,&#10016;,Maltese cross (cross form),Dingbats
,&#10018;,Four teardrop-spoked asterisk,Dingbats
,&#10019;,Four balloon-spoked asterisk,Dingbats
,&#10020;,Heavy four balloon-spoked asterisk,Dingbats
,&#10021;,Four club-spoked asterisk,Dingbats
,&#10022;,Black four-pointed star,Dingbats
,&#10023;,White four-pointed star,Dingbats
,&#10025;,Stress outlined white star,Dingbats
,&#10026;,Circled white star,Dingbats
,&#10027;,Open center black star,Dingbats
,&#10028;,Black center white star,Dingbats
,&#10029;,Outlined black star,Dingbats
,&#10030;,Heavy outlined black star,Dingbats
,&#10031;,Pinwheel star,Dingbats
,&#10032;,Shadowed white star,Dingbats
,&#10033;,Heavy asterisk,Dingbats
,&#10034;,Open center asterisk,Dingbats
,&#10035;,Eight-spoked asterisk,Dingbats
,&#10036;,Eight-pointed black star,Dingbats
,&#10037;,Eight-pointed pinwheel star,Dingbats
,&#10038;,Six-pointed black star,Dingbats
,&#10039;,Eight-pointed rectilinear black star,Dingbats
,&#10040;,Heavy eight-pointed rectilinear black star,Dingbats
,&#10041;,Twelve-pointed black star,Dingbats
,&#10042;,Sixteen-pointed asterisk,Dingbats
,&#10043;,Teardrop-spoked asterisk,Dingbats
,&#10044;,Open-center teardrop-spoked asterisk,Dingbats
,&#10045;,Heavy teardrop-spoked asterisk,Dingbats
,&#10046;,Six-petalled black-and-white florette,Dingbats
,&#10047;,Black florette,Dingbats
,&#10048;,White florette,Dingbats
,&#10049;,Eight-petalled outlined black florette,Dingbats
,&#10050;,Circled open-center eight-pointed star,Dingbats
,&#10051;,Heavy teardrop-spoked pinwheel asterisk,Dingbats
,&#10052;,Snowflake,Dingbats
,&#10053;,Tight trifoliate snowflake,Dingbats
,&#10054;,Heavy chevron snowflake,Dingbats
,&#10055;,Sparkle,Dingbats
,&#10056;,Heavy sparkle,Dingbats
,&#10057;,Balloon-spoked asterisk,Dingbats
,&#10058;,Eight teardrop-spoked propeller asterisk,Dingbats
,&#10059;,Heavy eight teardrop-spoked propeller asterisk,Dingbats
,&#10061;,Shadowed white circle,Dingbats
,&#10063;,Lower-right drop-shadowed white square,Dingbats
,&#10064;,Upper-right drop-shadowed white square,Dingbats
,&#10065;,Lower-right shadowed white square,Dingbats
,&#10066;,Upper-right shadowed white square,Dingbats
,&#10070;,Black diamond minus white X,Dingbats
,&#10072;,Light vertical bar,Dingbats
,&#10073;,Medium vertical bar,Dingbats
,&#10074;,Heavy vertical bar,Dingbats
,&#10075;,Heavy single turned comma quotation mark ornament,Dingbats
,&#10076;,Heavy single comma quotation mark ornament,Dingbats
,&#10077;,Heavy double turned comma quotation mark ornament,Dingbats
,&#10078;,Heavy double comma quotation mark ornament,Dingbats
,&#10081;,Curved stem paragraph sign ornament,Dingbats
,&#10082;,Heavy exclamation mark ornament,Dingbats
,&#10083;,Heavy heart exclamation mark ornament,Dingbats
,&#10084;,Heavy black heart,Dingbats
,&#10085;,Rotated heavy black heart bullet,Dingbats
,&#10086;,Floral heart,Dingbats
,&#10087;,Rotated floral heart bullet,Dingbats
,&#10102;,Dingbat negative circled digit one,Dingbats
,&#10103;,Dingbat negative circled digit two,Dingbats
,&#10104;,Dingbat negative circled digit three,Dingbats
,&#10105;,Dingbat negative circled digit four,Dingbats
,&#10106;,Dingbat negative circled digit five,Dingbats
,&#10107;,Dingbat negative circled digit six,Dingbats
,&#10108;,Dingbat negative circled digit seven,Dingbats
,&#10109;,Dingbat negative circled digit eight,Dingbats
,&#10110;,Dingbat negative circled digit nine,Dingbats
,&#10111;,Dingbat negative circled number 10,Dingbats
,&#10112;,Dingbat circled sans-serif digit one,Dingbats
,&#10113;,Dingbat circled sans-serif digit two,Dingbats
,&#10114;,Dingbat circled sans-serif digit three,Dingbats
,&#10115;,Dingbat circled sans-serif digit four,Dingbats
,&#10116;,Dingbat circled sans-serif digit five,Dingbats
,&#10117;,Dingbat circled sans-serif digit six,Dingbats
,&#10118;,Dingbat circled sans-serif digit seven,Dingbats
,&#10119;,Dingbat circled sans-serif digit eight,Dingbats
,&#10120;,Dingbat circled sans-serif digit nine,Dingbats
,&#10121;,Dingbat circled sans-serif number ten,Dingbats
,&#10122;,Dingbat negative circled sans-serif digit one,Dingbats
,&#10123;,Dingbat negative circled sans-serif digit two,Dingbats
,&#10124;,Dingbat negative circled sans-serif digit three,Dingbats
,&#10125;,Dingbat negative circled sans-serif digit four,Dingbats
,&#10126;,Dingbat negative circled sans-serif digit five,Dingbats
,&#10127;,Dingbat negative circled sans-serif digit six,Dingbats
,&#10128;,Dingbat negative circled sans-serif digit seven,Dingbats
,&#10129;,Dingbat negative circled sans-serif digit eight,Dingbats
,&#10130;,Dingbat negative circled sans-serif digit nine,Dingbats
,&#10131;,Dingbat negative circled sans-serif number ten,Dingbats
,&#10132;,Heavy wide-headed rightwards arrow,Dingbats
,&#10136;,Heavy southeast arrow,Dingbats
,&#10137;,Heavy rightwards arrow,Dingbats
,&#10138;,Heavy northeast arrow,Dingbats
,&#10139;,Drafting point rightwards arrow,Dingbats
,&#10140;,Heavy round-tipped rightwards arrow,Dingbats
,&#10141;,Triangle-headed rightwards arrow,Dingbats
,&#10142;,Heavy triangle-headed rightwards arrow,Dingbats
,&#10143;,Dashed triangle-headed rightwards arrow,Dingbats
,&#10144;,Heavy dashed triangle-headed rightwards arrow,Dingbats
,&#10145;,Black rightwards arrow,Dingbats
,&#10146;,Three-D top-lighted rightwards arrowhead,Dingbats
,&#10147;,Three-D bottom-lighted rightwards arrowhead,Dingbats
,&#10148;,Black rightwards arrowhead,Dingbats
,&#10149;,Heavy black curved downwards and rightwards arrow,Dingbats
,&#10150;,Heavy black curved upwards and rightwards arrow,Dingbats
,&#10151;,Square black rightwards arrow,Dingbats
,&#10152;,Heavy concave-pointed black rightwards arrow,Dingbats
,&#10153;,Right-shaded white rightwards arrow,Dingbats
,&#10154;,Left-shaded white rightwards arrow,Dingbats
,&#10155;,Back-tilted shadowed white rightwards arrow,Dingbats
,&#10156;,Front-tilted shadowed white rightwards arrow,Dingbats
,&#10157;,Heavy lower right-shadowed white rightwards arrow,Dingbats
,&#10158;,Heavy upper right-shadowed white rightwards arrow,Dingbats
,&#10159;,Notched lower right-shadowed white rightwards arrow,Dingbats
,&#10161;,Notched upper right-shadowed white rightwards arrow,Dingbats
,&#10162;,Circled heavy white rightwards arrow,Dingbats
,&#10163;,White-feathered rightwards arrow,Dingbats
,&#10164;,Black-feathered southeast arrow,Dingbats
,&#10165;,Black-feathered rightwards arrow,Dingbats
,&#10166;,Black-feathered northeast arrow,Dingbats
,&#10167;,Black-feathered southeast arrow,Dingbats
,&#10168;,Heavy black-feathered rightwards arrow,Dingbats
,&#10169;,Heavy black-feathered northeast arrow,Dingbats
,&#10170;,Teardrop-barbed rightwards arrow,Dingbats
,&#10171;,Heavy teardrop-shanked rightwards arrow,Dingbats
,&#10172;,Wedge-tailed rightwards arrow,Dingbats
,&#10173;,Heavy wedge-tailed rightwards arrow,Dingbats
,&#10174;,Open-outlined rightwards arrow,Dingbats
,&#127757;,Earth Globe Europe Africa,Miscellaneous
,&#128272;,Lock and Key,Miscellaneous
,&#128273;,Key,Miscellaneous
,&#128271;,Lock and Pen
,&#128274;,Lock
,&#128275;,Unlocked
,&#9200;,Alarm Clock
,&#128107;,Man and Woman


