name,code
Aichi,AIC
Akita,AKT
Aomori,AMR
Chiba,CHB
Ehime,EHM
Fukui,FKI
Fukuoka,FKO
Fukushima,FSM
Gifu,GFU
Gunma,GUM
Hiroshima,HRS
Hokkaido,HKD
Hyogo,HYG
Ibaraki,IBR
Ishikawa,IKW
Iwate,IWT
Kagawa,KGW
Kagoshima,KGS
Kanagawa,KNG
Kochi,KCH
Kumamoto,KMM
Kyoto,KYT
Mie,MIE
Miyagi,MYG
Miyazaki,MYZ
Nagano,NGN
Nagasaki,NGS
Nara,NRA
Niigata,NGT
Oita,OTA
Okayama,OKY
Okinawa,OKN
Osaka,OSK
Saga,SAG
Saitama,STM
Shiga,SHG
Shimane,SMN
Shizuoka,SZK
Tochigi,TOC
Tokushima,TKS
Tokyo,TKY
Tottori,TTR
Toyama,TYM
Wakayama,WKY
Yamagata,YGT
Yamaguchi,YGC
Yamanashi,YNS